"","School","Program","Name","Description","Code","Credits"
"11","New York University","Master of Science in Business Analytics","Decision Under Risk"," Analytics is “the scientific process of transforming data into insight for making better decisions.” For example, sales data can help us understand consumer purchase behaviors as well as demand patterns. These insights can be used to make sales forecasts, which in turn can inform assortment and production planning decisions. Optimization models have played a very important role in turning “insights” into “decisions” for companies in various industries: advertising, airlines, energy, investment and finance, marketing, manufacturing, retailing, etc. This course is aimed at enriching the student exposure to business analytics techniques. It has two main parts. The first part covers sensitivity analysis, which is a follow-up of the linear programming topic covered in the Decision Models course, and which relates to understanding the impact of changing the parameters of a model on the optimal solution. It is executed using Excel Solver. The second part, which spans most of the course, covers decision making under uncertainty. Students will learn how to build optimization models that incorporate random parameters (e.g., stochastic demand, price, etc.). Topics covered:  Sensitivity analysis for linear programming Decision analysis Two-stage stochastic optimization with recourse Dynamic programming      ",NA,NA
"12","New York University","Master of Science in Business Analytics","Revenue Management and Pricing"," Revenue management and Pricing (RMP) focuses on how firms should manage their pricing and product availability policies across different selling channels in order to maximize performance and profitability. One of the best-known applications of PRM is yield management whereby airlines, hotels, and other companies seek to maximize operating contribution by dynamically managing capacity over time. Building on a combination of lectures and case studies the course develops a set of methodologies that students can use to identify and develop opportunities for revenue optimization in different business contexts, including the transportation and hospitality industries, retail, media and entertainment, financial services, health care and manufacturing, and others. The course places particular emphasis on discussing quantitative models needed to tackle a number of important business problems including capacity allocation, markdown management, dynamic pricing for e-commerce, customized pricing, and demand forecasts under market uncertainty, to name a few. Topics covered: Demand segmentation Price differentiation Constrained pricing Marginal value of capacity Network revenue management Pricing policies in action Demand forecasting and data analysis       ",NA,NA
"13","New York University","Master of Science in Business Analytics","Data Privacy and Ethics"," There is a growing sense of urgency around the ethics of analytics. Harvard Business Review, for instance, declared that “oversight for algorithms” and “data privacy” would be among the top trends that business professionals could not ignore in 2016. Our class will tackle these topics head-on. Together, we will explore what it means to use analytics ethically and how to think about its ethical implications. We will approach these matters from the perspective of professionals who lead analytics-oriented teams or organizations, and whose success depends on their ability to recognize the ethical issues at stake and resolve these to the satisfaction of multiple stakeholders. Topics covered: Understanding sources of unfairness in analytics Unique challenge that analytics pose for privacy Policy responses and proposals Conducting experiments ethically       ",NA,NA
"14","New York University","Master of Science in Business Analytics","Strategy, Change and Analytics"," This course focuses on significant strategic decisions—such as the introduction of new products or the acquisition of another firm—and explores how data-driven and analytical approaches can be used to inform these decisions from a senior management perspective. A case-based approach allows us to discuss details of significant strategic decisions. We will cover some core aspects of business strategy, including external analysis, competitor analysis, and opportunity analysis. We will also look more deeply at different aspects of the decision-making process within organizations, both to understand the process and to think about implementation. The goal is to understand the role of analytics and analytical approaches in the broader organization. Topics covered: Value creation and capture Firm positioning versus competitors Ratio analysis in strategy Flexibility and commitment in strategy Leading organizational change; causality and interpretation of analytical results ",NA,NA
"15","New York University","Master of Science in Business Analytics","Strategic Capstone"," The Capstone project, which students work on throughout the year, is presented at the culmination of the program. This integrative exercise gives students an opportunity to review and interpret data through statistical and operational analysis with the use of predictive models and the application of optimization techniques. The result is a unified and practical case presentation on a topic of the group's choosing. This is a team-based project with approximately 4-6 students per group. The integrative projects should not take the form of formal dissertations or narrative papers. Rather, they should take the form of “reports to management,” emphasizing substance over length and the forest over the trees. Where possible, they should be action-oriented and framed in terms of business policy and competitive strategy. Given this format, they should be easily convertible into PowerPoint presentations. To review more information on past projects, visit our   .    ",NA,NA
"16","University of Maryland University College","Master of Science in Data Analytics","Decision Management Systems","Examines the process of decision making in large organizations and the technologies that can be used to enhance data-driven decision making.  The course focuses on the underlying framework of good decision making featuring operational decisions as reusable assets that can be automated through the creation of business rules.  Students explore how data can add analytic insight to improve decisions.  Best practices for long-term success of an analytics project in terms of project management and communications are also covered with an emphasis on the Cross-Industry Standard Process for Data Mining (CRISP-DM) methodology.","DATA 610 "," 6 Credits"
"17","University of Maryland University College","Master of Science in Data Analytics","Data Management and Visualization","Prerequisite: DATA 610. A presentation of the fundamental concepts and techniques in managing and presenting data for effective data-driven decision making.  Topics in data management and design include data design approaches for performance and availability, such as data storage and indexing strategies; data warehousing, such as requirement analysis, dimensional modeling, and ETL (extract, transform, load) processing; and metadata management. Topics in data visualization include understanding data types; data dimensionalities, such as time-series and geospatial data; forms of data visualization to include heat maps and infographs; and best practices for usable, consumable, and actionable data/results presentation.","DATA 620 "," 6 Credits"
"18","University of Maryland University College","Master of Science in Data Analytics","Data Mining","Prerequisite: DATA 620. An overview of the data mining component of the knowledge discovery process. Discussion covers standard exploratory data analysis techniques using statistical and machine learning algorithms, including association rules, discriminant analysis, naïve Bayes, nearest neighbor, cluster analysis, decision trees, and neural networks. Data mining applications are introduced, and algorithms and techniques useful for solving different problems are identified. Major software tools are used to perform data analysis.","DATA 630 "," 6 Credits"
"19","University of Maryland University College","Master of Science in Data Analytics","Predictive Modeling","Prerequisite: DATA 630. An introduction to advanced concepts in predictive modeling and techniques to discover patterns in data, identify variables with the most predictive power, and develop predictive models. Advanced algorithms such as support vector machines (SVM), regression, and ensemble models are used to examine predictive model development. Topics include high-performance modeling, genetic algorithms, and best practices for selecting methods and tools to build predictive models.","DATA 640 "," 6 Credits"
"20","University of Maryland University College","Master of Science in Data Analytics","Big Data Analytics","Prerequisite: DATA 640. An introduction to concepts and techniques in managing and analyzing large data sets for data discovery. Topics include text analytics, sentimental analysis, cognitive computing, and stream analytics. Discussion also covers how to identify the kinds of analyses to use with big data and how to interpret the results those analyses. Advanced tools and basic approaches are used to query and explore data using a Hadoop Platform and in-memory analytical tools like Spark.","DATA 650 "," 6 Credits"
"21","University of Maryland University College","Master of Science in Data Analytics","Data Analytics Practicum","Prerequisite: DATA 610, 620, 630, 640 and 650. Hands-on exercises and projects using the latest techniques/tools that prepare the student to put all the knowledge learned through previous courses into practice. Commercial and open-source tools would be used to conduct analyses and build prototypes using real-world case studies and data sets. Case studies cover building predictive models in selected industries (e.g., healthcare, medicine, defense, finance, banking, energy).","DATA 670 "," 6 Credits"
"22","University of Maryland University College","Master of Science in Data Analytics","Introduction to Statistics","Prerequisite: MATH 012, MATH 037, or an appropriate score on a placement test. An introduction to statistics. The objective is to assess the validity of statistical conclusions; organize, summarize, interpret, and present data using graphical and tabular representations; and apply principles of inferential statistics. Focus is on selecting and applying appropriate statistical tests and determining reasonable inferences and predictions from a set of data. Topics include methods of sampling; percentiles; concepts of probability; probability distributions; normal, t-, and chi-square distributions; confidence intervals; hypothesis testing of one and two means; proportions; binomial experiments; sample size calculations; correlation; regression; and analysis of variance (ANOVA). Students may receive credit for only one of the following courses: BEHS 202, BEHS 302, BMGT 230, ECON 321, GNST 201, MATH 111, MGMT 316, PSYC 200, SOCY 201, STAT 100, STAT 200, STAT 225, or STAT 230.","STAT 200 "," 3 Credits"
"23","University of Maryland University College","Master of Science in Data Analytics","Effective Graduate Writing","(Recommended preparation for students who want to improve their writing skills.) An introduction to the writing skills needed for effective academic writing. Skills addressed include accurate grammar and punctuation; summarizing and synthesizing texts; developing well-organized, well-supported informative essays; integrating sources into writing and formatting academic papers using APA guidelines; and revising writing to produce clear, concise documents.","UCSP 605 "," 0 Credits"
"24","University of Maryland University College","Master of Science in Data Analytics","Orientation to Graduate Studies at UMUC","(Required within the first 6 credits of graduate study for all new graduate students, except MBA students). An overview of the skills needed for academic and professional success. Focus is on enhancing communication and critical thinking skills. Assignments provide familiarity with tools such as social media and library and information resources. APA style and resources are also addressed.","UCSP 615 "," 0 Credits"
"25","University of Maryland University College","Master of Science in Data Analytics","Essentials of Computer Programming","(Recommended preparation for bioinformatics, data analytics, database technology, and software engineering students with little or no programming experience). An applied approach to creating computer programs. Discussion covers all aspects of basic programming, including variables, arrays, conditions, and input/output.","UCSP 635 "," 0 Credits"
"26","University of Maryland University College","Master of Science in Data Analytics","Structure of Computer Programming","Prerequisite:  UCSP 635.  (Recommended preparation for bioinformatics, data analytics, database technology, and software engineering students with some programming experience, typically with older languages such as PRG and COBOL.) An applied approach to creating computer programs. Discussion covers aspects of programming related to the structure of the program, including loops, procedures/functions, and leveraging other software libraries/packages.","UCSP 636 "," 0 Credits"
"27","Berkeley University","Master of Information and Data Science","Data Science W200. Python Fundamentals for Data Science","This fast-paced course gives students fundamental Python knowledge necessary for advanced work in data science. Students gain frequent practice writing code, building to advanced skills focused on data science applications. We introduce a range of Python objects and control structures, then build on these with classes on object-oriented programming. A major programming project reinforces these concepts, giving students insight into how a large piece of software is built and experience managing a full-cycle development project. The last section covers two popular Python packages for data analysis, Numpy and Pandas, and includes an exploratory data analysis.",NA,NA
"28","Berkeley University","Master of Information and Data Science","Data Science W201. Research Design and Applications for Data and Analysis","Introduces the data sciences landscape, with a particular focus on learning data science techniques to uncover and answer the questions students will encounter in industry. Lectures, readings, discussions, and assignments will teach how to apply disciplined, creative methods to ask better questions, gather data, interpret results, and convey findings to various audiences. The emphasis throughout is on making practical contributions to real decisions that organizations will and should make.",NA,NA
"29","Berkeley University","Master of Information and Data Science","Data Science W203. Statistics for Data Science","An introduction to many different types of quantitative research methods and statistical techniques for analyzing data. We begin with a focus on measurement, inferential statistics and causal inference using the open-source statistics language, R. Topics in quantitative techniques include: descriptive and inferential statistics, sampling, experimental design, tests of difference, ordinary least squares regression, general linear models.",NA,NA
"30","Berkeley University","Master of Information and Data Science","Data Science W205. Fundamentals of Data Engineering","Data Science depends on data, and a core competency mandated by this reliance on data is knowing effective and efficient ways to manage, search and compute over that data. This course is focused on how data can be stored, managed and retrieved as needed for use in analysis or operations. The goal of this course is provide students with both theoretical knowledge and practical experience leading to mastery of data management, storage and retrieval with very large-scale data sets.",NA,NA
"31","Berkeley University","Master of Information and Data Science","Data Science W207. Applied Machine Learning","Machine learning is a rapidly growing field at the intersection of 
computer science and statistics concerned with finding patterns in data. 
It is responsible for tremendous advances in technology, from 
personalized product recommendations to speech recognition in cell 
phones. This course provides a broad introduction to the key ideas in 
machine learning. The emphasis will be on intuition and practical 
examples rather than theoretical results, though some experience with 
probability, statistics, and linear algebra will be important.",NA,NA
"32","Berkeley University","Master of Information and Data Science","Data Science W209. Data Visualization and Communication","Communicating clearly and effectively about the patterns we find in data is a key skill for a successful data scientist. This course focuses on the design and implementation of complementary visual and verbal representations of patterns and analyses in order to convey findings, answer questions, drive decisions, and provide persuasive evidence supported by data. Assignments will give hands-on experience designing data graphics and visualizations, and reporting findings in prose.",NA,NA
"33","Berkeley University","Master of Information and Data Science","Data Science W210. Capstone","The capstone course will cement skills learned throughout the MIDS program — both core data science skills and “soft skills” like problem-solving, communication, influencing, and management — preparing students for success in the field. The centerpiece is a semester-long group project in which teams of students propose and select project ideas, conduct and communicate their work, receive and provide feedback (in informal group discussions and formal class presentations), and deliver compelling presentations along with a web-based final deliverable. Includes relevant readings, case discussions, and real-world examples and perspectives from panel discussions with leading data science experts and industry practitioners.",NA,NA
"34","Berkeley University","Master of Information and Data Science","Data Science W231. Behind the Data: Humans and Values","Intro to the legal, policy, and ethical implications of data, including privacy, surveillance, security, classification, discrimination, decisional-autonomy, and duties to warn or act. Examines legal, policy, and ethical issues throughout the full data-science life cycle collection, storage, processing, analysis, and use with case studies from criminal justice, national security, health, marketing, politics, education, employment, athletics, and development. Includes legal and policy constraints and considerations for specific domains and data-types, collection methods, and institutions; technical, legal, and market approaches to mitigating and managing concerns; and the strengths and benefits of competing and complementary approaches.",NA,NA
"35","Berkeley University","Master of Information and Data Science","Data Science W241. Experiments and Causal Inference","This course introduces  students to experimentation in the social sciences. This topic has  increased considerably in importance since 1995, as researchers have learned to think  creatively about how to generate data in more scientific ways, and  developments in information technology have facilitated the development of better data  gathering. Key to this area of inquiry is the insight that correlation does not necessarily imply causality. In this course, we learn how to use  experiments to establish causal effects and how to be appropriately  skeptical of findings from observational data.",NA,NA
"36","Berkeley University","Master of Information and Data Science","Data Science W251. Scaling Up! Really Big Data","An overview of the contemporary toolkits for problems
related to cloud computing and big data. Because the class is an advanced
course, we generally assume familiarity with the concepts and spend more time
on the implementation. Every lecture is followed by a hands-on assignment,
where students get to experience some of the technologies covered in the
lecture. By the time students complete the course, they should be able to name
the big data problem they are facing, select proper tooling, and know enough
to start applying it.",NA,NA
"37","Berkeley University","Master of Information and Data Science","Data Science W261. Machine Learning at Scale","This course teaches the underlying principles required to develop scalable machine learning pipelines for structured and unstructured data at the petabyte scale. Students will gain hands-on experience in Apache Hadoop and Apache Spark.",NA,NA
"38","Berkeley University","Master of Information and Data Science","Data Science W266. Natural Language Processing with Deep Learning","Understanding language is fundamental to human interaction. Our brains have evolved language-specific circuitry that helps us learn it very quickly; however, this also means that we have great difficulty explaining how exactly meaning arises from sounds and symbols. This course is a broad introduction to linguistic phenomena and our attempts to analyze them with machine learning. We will cover a wide range of concepts with a focus on practical applications such as information extraction, machine translation, sentiment analysis, and summarization.",NA,NA
"39","Berkeley University","Master of Information and Data Science","Data Science W271. Statistical Methods for Discrete Response, Time Series, and Panel Data","A continuation of Data Science W203 (Exploring and Analyzing Data), this course trains data science students to apply more advanced methods from regression analysis and time series models. Central topics include linear regression, causal inference, identification strategies, and a wide-range of time series models that are frequently used by industry professionals. Throughout the course, we emphasize choosing, applying, and implementing statistical techniques to capture key patterns and generate insight from data. Students who successfully complete this course will be able to distinguish between appropriate and inappropriate techniques given the problem under consideration, the data available, and the given timeframe.",NA,NA
"40","Duke University","Master of Quantitative Management Business Analytics","Business Fundamentals","This course introduces you to a wide range of principles to ensure you have a basic understanding of issues in accounting, finance, marketing, and strategy.",NA,NA
"41","Duke University","Master of Quantitative Management Business Analytics","Applied Probability and Statistics ","Examine a framework for data-driven decision making under conditions of partial information and uncertainty. You’ll acquire probabilistic and statistical tools for understanding, analyzing, and interpreting data.",NA,NA
"42","Duke University","Master of Quantitative Management Business Analytics","Business Communication 1 ","Begin building your foundation in effective communication in a business setting. You’ll learn and practice crucial communications skills such as clear communication, strategic management communication, giving and receiving feedback, using influence and advocacy, presentation skills and career management skills.",NA,NA
"43","Duke University","Master of Quantitative Management Business Analytics","Business Communication 2 ","Hone your skills and build on the concepts of Business Communication 1 as you prepare to succeed in your capstone project and your career. Master team presentations where your analysis and recommendations must hold up to audience challenges, present persuasive recommendations, use narrative structures to enhance coherence, ask and answer questions effectively, and polish interpersonal communication.",NA,NA
"44","Duke University","Master of Quantitative Management Business Analytics","Critical Thinking, Communication, and Collaboration","This course provides a grounding in three skills that will serve you well in both analysis and in life.",NA,NA
"45","Duke University","Master of Quantitative Management Business Analytics","Navigating Organizations","Knowing how to analyze and improve performance in organizations and exert your influence for positive results at any level in your organization is important for long-term career success. This course has two goals—to provide a roadmap for understanding how organizations function and to provide basic concepts you can build on later in your career. ",NA,NA
"46","Duke University","Master of Quantitative Management Business Analytics","Data Infrastructure","Ensuring the validity and availability of data is critical to leveraging it within an organization. In this course, you’ll explore the fundamentals of data storage, cleansing, and retrieval in order to facilitate data usage in your organization, examining structured, relational database design, and data integrity issues.",NA,NA
"47","Duke University","Master of Quantitative Management Business Analytics","Data Science for Business","Deeply explore the interplay between data science and business decisions. You'll learn supervised and unsupervised machine learning techniques such as classification, clustering, and text mining.",NA,NA
"48","Duke University","Master of Quantitative Management Business Analytics","Decision Analytics and Modeling ","Gain an overview of modeling frameworks and the art and science of modeling decisions. You’ll learn about decision trees for structuring decision problems under uncertainty, Monte Carlo simulation for simulating decision situations with many uncertainties, and optimization for finding the best possible solution in problems with many decision variables and constraints.",NA,NA
"49","Duke University","Master of Quantitative Management Business Analytics","Data Visualization","Explore techniques to effectively communicate information about data using graphical means. You will utilize popular data visualization tools such as Tableau, Crystal Report, and/or R.",NA,NA
"50","Duke University","Master of Quantitative Management Business Analytics","Introductory Finance","Cover all the basic concepts in finance—discounting, equities, bonds, portfolio diversification, the capital asset pricing model (CAPM), and the weighted average cost of capital (WACC)—in order to establish your knowledge foundation for exposure to more complex financial concepts through the program.",NA,NA
"51","Duke University","Master of Quantitative Management Business Analytics","Intermediate Finance","Gain a working knowledge of key concepts in portfolio management. This course covers mutual funds, multifactor models, asset classes and allocation, foreign exchange markets, international investment and capital budgeting, hedge funds, private equity, and venture capital.",NA,NA
"52","Duke University","Master of Quantitative Management Business Analytics","Derivatives","Develop tools for valuing and modeling the risk exposures of derivatives and explore how they are deployed in a corporate or financial risk management setting. The course is divided into three parts, covering (1) linear instruments including forward, futures, and swaps, (2) nonlinear instruments such as options, and (3) corporate finance and risk management applications of both types of instruments.",NA,NA
"53","Duke University","Master of Quantitative Management Business Analytics","Fixed Income Securities","Learn about key concepts in fixed income securities, including bond pricing and term structure of interest rates, interest rate risk management, interest rate derivatives, inflation, fed funds and monetary policy, term structure modeling, continuous time modeling, and no arbitrage modeling.",NA,NA
"54","Duke University","Master of Quantitative Management Business Analytics","Financial Risk Management","Understand the main concepts of financial risk management for banks and asset managers, including risk management for banks (mortgages, prepayment risks, commercial loans, credit risk, Basel Accords, capital requirements, stress testing) as well as risk management for asset managers (security selection, selection of weights, systematic risk of portfolio).",NA,NA
"55","Duke University","Master of Quantitative Management Business Analytics","Digital Marketing","Understand digital markets, their associated key performance indicators, and tools to improve the efficiency of digital marketing. Topics include advertising markets and integrated marketing communication, attribution, ad networks and media buying, campaign performance measurement, social media, search marketing, auctions, e-commerce, marketplaces, assortment and pricing, and multi-channel marketing.",NA,NA
"56","Duke University","Master of Quantitative Management Business Analytics","Market Intelligence","Gathering, analyzing, and interpreting data about markets and customers is critical for the success of an organization. This skill is important for careers in marketing, consulting, and entrepreneurship. You’ll analyze data to understand customers and inform marketing decisions, evaluate the quality and usefulness of available data and analyses conducted by others, and communicate analysis-based conclusions to colleagues and managers.",NA,NA
"57","Duke University","Master of Quantitative Management Business Analytics","Customer Relationship Management","Covering a number of overlapping frameworks, you’ll explore the stages of the customer lifecycle and the revenue and profit stream that can be managed according to each stage of the cycle. You’ll learn about quantitative methods to improve the efficiency and effectiveness of customer relationship management (CRM) activities, and an array of CRM-specific models, tools, and frameworks and how to apply them to real-world problems.",NA,NA
"58","Duke University","Master of Quantitative Management Business Analytics","Pricing","While most of a firm’s marketing activities create value for the customer, pricing is the only marketing activity that creates value for the firm. You will examine the quantitative tools used to formulate pricing strategy consistent with the firm’s marketing strategy, and how to formulate pricing tactics, estimate the value of a product or service, estimate own-price and cross-price elasticities, and determine when price promotions should occur.",NA,NA
"59","Duke University","Master of Quantitative Management Business Analytics","Empirical Economic Analysis","Identify and empirically analyze a variety of economic models, focusing on underlying causal forces. Develop skills to make effective managerial decisions and strategic choices based on quantitative analysis of a firm's capabilities and the market in which it operates. You'll focus strongly on the insight necessary to optimally identify, estimate, interpret, and test an economic model.",NA,NA
"60","Duke University","Master of Quantitative Management Business Analytics","Operations Analytics","Explore techniques to understand and improve a firm’s operational capabilities. You’ll cover Process Analytics, focusing on individual processes in order to improve process performance, quantify the impact of randomness, and visualize process quality. In Supply Chain Analytics, you’ll cover the entire supply chain, forecast uncertain demand, optimize inventory, and design distribution networks and supply chains to ensure supply meets demand.",NA,NA
"61","Duke University","Master of Quantitative Management Business Analytics","Strategic Management","Strategic management addresses the broad issues faced by management and explores how to structure a firm to use insights from externally-focused and internally-focused analytics teams. You’ll examine industry analysis, business unit strategy, corporate strategy, estimating learning curves, project management, implementation and organizational form, and incentives.",NA,NA
"62","Duke University","Master of Quantitative Management Business Analytics","People Analytics","Delve into prescriptive analytics techniques to understand and improve a firm's organizational processes. You’ll study diversity analytics, predicting employee turnover, predicting employee performance, recruitment analytics, and intervention impact.",NA,NA
"63","Duke University","Master of Quantitative Management Business Analytics","Financial Reporting Foundations","Understand how to construct and interpret corporate financial reports, focusing on management’s responsibility for applying judgment to implement financial reporting standards, and the user’s interpretation and analysis of those reports. You’ll cover areas including difficult and complex judgments and estimates, and be able to use the FASB’s Codification of US GAAP to identify and interpret authoritative guidance.",NA,NA
